Название кампании	Тип кампании	Минус-фразы на кампанию	Название группы	Номер группы	Доп. объявление группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения	Минус-фразы на группу
CC | Зарубежные счета				2	-	"иностранный банковский счет"										
CC | Зарубежные счета				2	-	"счет в иностранном банке для россиян"										
CC | Зарубежные счета				2	-	"открыть счет за границей физическому лицу"										
CC | Зарубежные счета				2	-	"зарубежный счет для бизнеса"										
CC | Зарубежные счета				2	-	"счет в зарубежном банке нерезидент"										
CC | Зарубежные счета				2	+		Счёт за границей для россиян	Подбор под ваш кейс	Source of Funds и выбор юрисдикции под ваш кейс. Доказываем, а не прячем.	https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	zarubezhnyy-schet	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета	Текстово-графическая		Счёт ОАЭ	3	-	"открыть счет в оаэ"	Счёт в ОАЭ для россиян	Source of Funds под ключ	Личный и корпоративный счёт в Дубае с прохождением KYC. Под банк.	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/oae	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета				3	-	"счет в дубае для россиян"										
CC | Зарубежные счета				3	-	"банковский счет оаэ"										
CC | Зарубежные счета				3	-	"открыть счет в дубае"										
CC | Зарубежные счета				3	-	"корпоративный счет в оаэ"										
CC | Зарубежные счета				3	-	"счет в банке оаэ для нерезидентов"										
CC | Зарубежные счета				3	-	"открыть счет в эмиратах"										
CC | Зарубежные счета				3	-	"банк в дубае для россиян"										
CC | Зарубежные счета				3	+		Счёт в Дубае: комплаенс	Free Zone и личный счёт	Открытие счёта в ОАЭ с понятной биографией капитала. Не транзит.	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/oae	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета	Текстово-графическая		Счёт Сингапур	4	-	"открыть счет в сингапуре"	Счёт в Сингапуре	Капитал от $500K	Личный счёт и family office. Комплаенс MAS и Source of Funds.	https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/singapore	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета				4	-	"банк сингапур нерезидент"										
CC | Зарубежные счета				4	-	"счет в сингапуре для россиян"										
CC | Зарубежные счета				4	-	"корпоративный счет сингапур"										
CC | Зарубежные счета				4	-	"открыть счет в банке сингапура"										
CC | Зарубежные счета				4	-	"личный счет в сингапуре"										
CC | Зарубежные счета				4	-	"банковский счет сингапур"										
CC | Зарубежные счета				4	+		Банк Сингапура для нерезидентов	Для крупного капитала	Счёт для крупного капитала. Документы под банк и регулятор MAS.	https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/singapore	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета	Текстово-графическая		Счёт Гонконг	5	-	"счет в гонконге"	Счёт в Гонконге	Комплаенс и платежи	Открытие счёта с чистой историей капитала. ВЭД и private banking.	https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/hong-kong	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета				5	-	"открыть счет гонконг"										
CC | Зарубежные счета				5	-	"банк гонконга для нерезидентов"										
CC | Зарубежные счета				5	-	"корпоративный счет в гонконге"										
CC | Зарубежные счета				5	-	"открыть счет в банке гонконга"										
CC | Зарубежные счета				5	-	"счет в гонконге для бизнеса"										
CC | Зарубежные счета				5	-	"банковский счет гонконг"										
CC | Зарубежные счета				5	+		Гонконг для бизнеса	Source of Funds под банк	Сопровождение KYC/EDD и структуры под банк Гонконга.	https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/hong-kong	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
