Название кампании	Тип кампании	Минус-фразы на кампанию	Название группы	Номер группы	Доп. объявление группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения	Минус-фразы на группу
CC | ВЭД-консалтинг				2	-	"валютный контроль для бизнеса"										
CC | ВЭД-консалтинг				2	-	"консультация валютный контроль"										
CC | ВЭД-консалтинг				2	-	"валютный контроль вэд"										
CC | ВЭД-консалтинг				2	-	"штатный валютный контроль"										
CC | ВЭД-консалтинг				2	-	"валютный контроль импорт"										
CC | ВЭД-консалтинг				2	-	"валютный контроль документы"										
CC | ВЭД-консалтинг				2	+		Валютный контроль под ключ	Сопровождение сделки	Сопровождаем внешнеторговую сделку: контракт, ВК, бухгалтерия без НДС.	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	valyutnyy-kontrol	Валютный контроль||Договор с нерезидентом||Зарубежный счёт||О подходе	Сопровождение и закрывающие документы||Контракты ВЭД под банк и комплаенс||Счёт под международные сделки||Доказываем, а не прячем	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/qualified-clients.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Договор с нерезидентом||Валютный контроль||Закрывающие документы||Без НДС||С 2023 года	
CC | ВЭД-консалтинг	Текстово-графическая		Контракт с нерезидентом	3	-	"договор с нерезидентом"	Контракт ВЭД с нерезидентом	Под банк и комплаенс	Готовим внешнеторговый контракт под валютный контроль и банк.	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	kontrakt-ved	Валютный контроль||Договор с нерезидентом||Зарубежный счёт||О подходе	Сопровождение и закрывающие документы||Контракты ВЭД под банк и комплаенс||Счёт под международные сделки||Доказываем, а не прячем	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/qualified-clients.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Договор с нерезидентом||Валютный контроль||Закрывающие документы||Без НДС||С 2023 года	
CC | ВЭД-консалтинг				3	-	"контракт вэд"										
CC | ВЭД-консалтинг				3	-	"договор с иностранным поставщиком"										
CC | ВЭД-консалтинг				3	-	"внешнеторговый контракт"										
CC | ВЭД-консалтинг				3	-	"договор поставки с нерезидентом"										
CC | ВЭД-консалтинг				3	-	"экспортный контракт сопровождение"										
CC | ВЭД-консалтинг				3	-	"импортный контракт сопровождение"										
CC | ВЭД-консалтинг				3	+		Договор с иностранцем под ключ	Сопровождение ВЭД	Контракт, валютный контроль и закрывающие документы. Под NDA.	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	kontrakt-ved	Валютный контроль||Договор с нерезидентом||Зарубежный счёт||О подходе	Сопровождение и закрывающие документы||Контракты ВЭД под банк и комплаенс||Счёт под международные сделки||Доказываем, а не прячем	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/qualified-clients.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Договор с нерезидентом||Валютный контроль||Закрывающие документы||Без НДС||С 2023 года	
